card_1,card_2,card_1_W,card_1_L,Games Played,card_1_overall_rating,card_1_matchup_rating
Baby Dragon,Barbarian Hut,0,1,1,0.4138,0.567
Baby Dragon,Berserker,1,0,1,0.4138,0.576
Baby Dragon,Dart Goblin,3,0,3,0.4138,0.6612
Baby Dragon,Electro Spirit,3,4,7,0.4138,0.4714
Baby Dragon,Electro Wizard,1,1,2,0.4138,0.4861
Baby Dragon,Elixir Golem,0,0,0,0.4138,0.5625
Baby Dragon,Executioner,0,2,2,0.4138,0.4861
Baby Dragon,Fireball,6,7,13,0.4138,0.4777
Baby Dragon,Fisherman,0,0,0,0.4138,0.5625
Baby Dragon,Flying Machine,2,2,4,0.4138,0.5359
Baby Dragon,Furnace,0,0,0,0.4138,0.5625
Baby Dragon,Giant,0,2,2,0.4138,0.4861
Baby Dragon,Giant Snowball,0,0,0,0.4138,0.5625
Baby Dragon,Goblin Barrel,1,4,5,0.4138,0.3898
Baby Dragon,Goblin Demolisher,1,3,4,0.4138,0.4097
Baby Dragon,Goblin Drill,0,0,0,0.4138,0.5625
Baby Dragon,Goblin Giant,0,2,2,0.4138,0.4861
Baby Dragon,Goblin Hut,4,8,12,0.4138,0.3669
Baby Dragon,Golem,4,2,6,0.4138,0.702
Baby Dragon,Graveyard,0,2,2,0.4138,0.4861
Baby Dragon,Hunter,0,0,0,0.4138,0.5625
Baby Dragon,Ice Spirit,3,6,9,0.4138,0.379
Baby Dragon,Ice Wizard,0,0,0,0.4138,0.5625
Baby Dragon,Inferno Tower,0,0,0,0.4138,0.5625
Baby Dragon,Knight,3,6,9,0.4138,0.379
Baby Dragon,Lava Hound,1,0,1,0.4138,0.576
Baby Dragon,Mega Knight,0,0,0,0.4138,0.5625
Baby Dragon,Mortar,0,0,0,0.4138,0.5625
Baby Dragon,Mother Witch,0,0,0,0.4138,0.5625
Baby Dragon,Musketeer,4,7,11,0.4138,0.3966
Baby Dragon,Night Witch,0,0,0,0.4138,0.5625
Baby Dragon,P.E.K.K.A,0,0,0,0.4138,0.5625
Baby Dragon,Poison,2,3,5,0.4138,0.4688
Baby Dragon,Princess,0,0,0,0.4138,0.5625
Baby Dragon,Rage,0,0,0,0.4138,0.5625
Baby Dragon,Ram Rider,2,1,3,0.4138,0.6367
Baby Dragon,Rascals,5,5,10,0.4138,0.6036
Baby Dragon,Rocket,0,0,0,0.4138,0.5625
Baby Dragon,Royal Delivery,1,2,3,0.4138,0.4636
Baby Dragon,Royal Giant,3,2,5,0.4138,0.6321
Baby Dragon,Rune Giant,0,2,2,0.4138,0.4861
Baby Dragon,Suspicious Bush,4,2,6,0.4138,0.702
Baby Dragon,The Log,1,5,6,0.4138,0.3757
Baby Dragon,Tombstone,4,5,9,0.4138,0.4737
Baby Dragon,Vines,1,6,7,0.4138,0.3651
Baby Dragon,Witch,2,2,4,0.4138,0.5359
Baby Dragon,Wizard,0,0,0,0.4138,0.5625
Baby Dragon,X-Bow,2,2,4,0.4138,0.5359
Baby Dragon,Zappies,0,0,0,0.4138,0.5625
Barbarian Hut,Baby Dragon,1,0,1,0.8078,0.576
Barbarian Hut,Berserker,0,0,0,0.8078,0.5625
Barbarian Hut,Dart Goblin,1,1,2,0.8078,0.4861
Barbarian Hut,Electro Spirit,4,1,5,0.8078,0.7111
Barbarian Hut,Electro Wizard,3,1,4,0.8078,0.6891
Barbarian Hut,Elixir Golem,0,0,0,0.8078,0.5625
Barbarian Hut,Executioner,0,1,1,0.8078,0.567
Barbarian Hut,Fireball,7,1,8,0.8078,0.7562
Barbarian Hut,Fisherman,0,0,0,0.8078,0.5625
Barbarian Hut,Flying Machine,3,1,4,0.8078,0.6891
Barbarian Hut,Furnace,0,0,0,0.8078,0.5625
Barbarian Hut,Giant,1,1,2,0.8078,0.4861
Barbarian Hut,Giant Snowball,0,0,0,0.8078,0.5625
Barbarian Hut,Goblin Barrel,4,1,5,0.8078,0.7111
Barbarian Hut,Goblin Demolisher,2,0,2,0.8078,0.625
Barbarian Hut,Goblin Drill,1,0,1,0.8078,0.576
Barbarian Hut,Goblin Giant,0,0,0,0.8078,0.5625
Barbarian Hut,Goblin Hut,3,3,6,0.8078,0.567
Barbarian Hut,Golem,2,0,2,0.8078,0.625
Barbarian Hut,Graveyard,2,2,4,0.8078,0.5359
Barbarian Hut,Hunter,1,0,1,0.8078,0.576
Barbarian Hut,Ice Spirit,5,2,7,0.8078,0.7438
Barbarian Hut,Ice Wizard,1,0,1,0.8078,0.576
Barbarian Hut,Inferno Tower,0,0,0,0.8078,0.5625
Barbarian Hut,Knight,4,2,6,0.8078,0.702
Barbarian Hut,Lava Hound,1,0,1,0.8078,0.576
Barbarian Hut,Mega Knight,0,0,0,0.8078,0.5625
Barbarian Hut,Mortar,1,0,1,0.8078,0.576
Barbarian Hut,Mother Witch,0,0,0,0.8078,0.5625
Barbarian Hut,Musketeer,2,1,3,0.8078,0.6367
Barbarian Hut,Night Witch,0,1,1,0.8078,0.567
Barbarian Hut,P.E.K.K.A,0,0,0,0.8078,0.5625
Barbarian Hut,Poison,2,1,3,0.8078,0.6367
Barbarian Hut,Princess,1,0,1,0.8078,0.576
Barbarian Hut,Rage,1,0,1,0.8078,0.576
Barbarian Hut,Ram Rider,3,0,3,0.8078,0.6612
Barbarian Hut,Rascals,3,2,5,0.8078,0.6321
Barbarian Hut,Rocket,0,0,0,0.8078,0.5625
Barbarian Hut,Royal Delivery,2,0,2,0.8078,0.625
Barbarian Hut,Royal Giant,3,0,3,0.8078,0.6612
Barbarian Hut,Rune Giant,2,0,2,0.8078,0.625
Barbarian Hut,Suspicious Bush,6,3,9,0.8078,0.7385
