game,timestamp,winner,loser,winner_delta,loser_delta,Kevin,Alex,Brooks,Laurent,Jason,Andrew
1,2026-03-15T14:32:05Z,Brooks,Andrew,+16.0,-16.0,1000.0,1000.0,1016.0,1000.0,1000.0,984.0
2,2026-03-15T14:33:05Z,Alex,Jason,+16.0,-16.0,1000.0,1016.0,1016.0,1000.0,984.0,984.0
3,2026-03-15T14:34:05Z,Andrew,Kevin,+16.74,-16.74,983.26,1016.0,1016.0,1000.0,984.0,1000.74
4,2026-03-15T14:35:05Z,Andrew,Kevin,+15.2,-15.2,968.06,1016.0,1016.0,1000.0,984.0,1015.94
5,2026-03-15T14:36:05Z,Andrew,Kevin,+13.81,-13.81,954.25,1016.0,1016.0,1000.0,984.0,1029.75
6,2026-03-15T14:37:05Z,Brooks,Kevin,+13.19,-13.19,941.06,1016.0,1029.19,1000.0,984.0,1029.75
7,2026-03-15T14:38:05Z,Brooks,Kevin,+12.03,-12.03,929.03,1016.0,1041.22,1000.0,984.0,1029.75
8,2026-03-15T14:39:05Z,Alex,Andrew,+16.63,-16.63,929.03,1032.63,1041.22,1000.0,984.0,1013.12
9,2026-03-17T02:54:02Z,Kevin,Andrew,+19.8,-19.8,948.83,1032.63,1041.22,1000.0,984.0,993.32
10,2026-03-17T03:01:57Z,Kevin,Andrew,+18.04,-18.04,966.87,1032.63,1041.22,1000.0,984.0,975.28
11,2026-03-17T03:08:55Z,Kevin,Andrew,+16.39,-16.39,983.26,1032.63,1041.22,1000.0,984.0,958.89
12,2026-03-17T03:17:57Z,Andrew,Kevin,+17.12,-17.12,966.14,1032.63,1041.22,1000.0,984.0,976.01
13,2026-03-17T06:52:25Z,Brooks,Andrew,+13.03,-13.03,966.14,1032.63,1054.25,1000.0,984.0,962.98
14,2026-03-17T06:58:02Z,Brooks,Andrew,+11.89,-11.89,966.14,1032.63,1066.14,1000.0,984.0,951.09
15,2026-03-17T07:04:08Z,Brooks,Andrew,+10.89,-10.89,966.14,1032.63,1077.03,1000.0,984.0,940.2
16,2026-03-17T07:10:39Z,Brooks,Andrew,+10.01,-10.01,966.14,1032.63,1087.04,1000.0,984.0,930.19
17,2026-03-17T07:16:00Z,Andrew,Brooks,+22.77,-22.77,966.14,1032.63,1064.27,1000.0,984.0,952.96
18,2026-03-17T07:21:22Z,Andrew,Brooks,+20.96,-20.96,966.14,1032.63,1043.31,1000.0,984.0,973.92
19,2026-03-17T19:31:49Z,Kevin,Andrew,+16.36,-16.36,982.5,1032.63,1043.31,1000.0,984.0,957.56
20,2026-03-17T19:37:09Z,Andrew,Kevin,+17.15,-17.15,965.35,1032.63,1043.31,1000.0,984.0,974.71
21,2026-03-17T19:42:46Z,Andrew,Kevin,+15.57,-15.57,949.78,1032.63,1043.31,1000.0,984.0,990.28
22,2026-03-17T20:07:30Z,Kevin,Andrew,+17.86,-17.86,967.64,1032.63,1043.31,1000.0,984.0,972.42
23,2026-03-17T20:13:08Z,Kevin,Andrew,+16.22,-16.22,983.86,1032.63,1043.31,1000.0,984.0,956.2
24,2026-03-17T20:19:27Z,Kevin,Andrew,+14.73,-14.73,998.59,1032.63,1043.31,1000.0,984.0,941.47
25,2026-03-17T21:35:07Z,Kevin,Brooks,+18.05,-18.05,1016.64,1032.63,1025.26,1000.0,984.0,941.47
26,2026-03-17T21:39:44Z,Kevin,Brooks,+16.4,-16.4,1033.04,1032.63,1008.86,1000.0,984.0,941.47
27,2026-03-17T21:47:45Z,Andrew,Kevin,+20.12,-20.12,1012.92,1032.63,1008.86,1000.0,984.0,961.59
28,2026-03-17T22:45:27Z,Laurent,Andrew,+14.24,-14.24,1012.92,1032.63,1008.86,1014.24,984.0,947.35
29,2026-03-17T22:53:43Z,Kevin,Laurent,+16.06,-16.06,1028.98,1032.63,1008.86,998.18,984.0,947.35
30,2026-03-17T22:58:42Z,Kevin,Laurent,+14.59,-14.59,1043.57,1032.63,1008.86,983.59,984.0,947.35
31,2026-03-17T23:03:53Z,Laurent,Kevin,+18.74,-18.74,1024.83,1032.63,1008.86,1002.33,984.0,947.35
32,2026-03-17T23:09:55Z,Laurent,Kevin,+17.03,-17.03,1007.8,1032.63,1008.86,1019.36,984.0,947.35
33,2026-03-17T23:16:01Z,Kevin,Laurent,+16.53,-16.53,1024.33,1032.63,1008.86,1002.83,984.0,947.35
34,2026-03-18T05:17:24Z,Andrew,Kevin,+19.49,-19.49,1004.84,1032.63,1008.86,1002.83,984.0,966.84
