game,timestamp,winner,loser,winner_delta,loser_delta,Kevin,Jason,Laurent,Brooks,Alex,Andrew
1,2026-03-17T06:52:25Z,Brooks,Andrew,+16.0,-16.0,1000.0,1000.0,1000.0,1016.0,1000.0,984.0
2,2026-03-17T06:58:02Z,Brooks,Andrew,+14.53,-14.53,1000.0,1000.0,1000.0,1030.53,1000.0,969.47
3,2026-03-17T07:04:08Z,Brooks,Andrew,+13.22,-13.22,1000.0,1000.0,1000.0,1043.75,1000.0,956.25
4,2026-03-17T07:10:39Z,Brooks,Andrew,+12.05,-12.05,1000.0,1000.0,1000.0,1055.8,1000.0,944.2
5,2026-03-17T07:16:00Z,Andrew,Brooks,+20.97,-20.97,1000.0,1000.0,1000.0,1034.83,1000.0,965.17
6,2026-03-17T07:21:22Z,Andrew,Brooks,+19.17,-19.17,1000.0,1000.0,1000.0,1015.66,1000.0,984.34
7,2026-03-17T19:31:49Z,Kevin,Andrew,+15.28,-15.28,1015.28,1000.0,1000.0,1015.66,1000.0,969.06
8,2026-03-17T19:37:09Z,Andrew,Kevin,+18.12,-18.12,997.16,1000.0,1000.0,1015.66,1000.0,987.18
9,2026-03-17T19:42:46Z,Andrew,Kevin,+16.46,-16.46,980.7,1000.0,1000.0,1015.66,1000.0,1003.64
10,2026-03-17T20:07:30Z,Kevin,Andrew,+17.05,-17.05,997.75,1000.0,1000.0,1015.66,1000.0,986.59
11,2026-03-17T20:13:08Z,Kevin,Andrew,+15.49,-15.49,1013.24,1000.0,1000.0,1015.66,1000.0,971.1
12,2026-03-17T20:19:27Z,Kevin,Andrew,+14.07,-14.07,1027.31,1000.0,1000.0,1015.66,1000.0,957.03
13,2026-03-17T21:35:07Z,Kevin,Brooks,+15.46,-15.46,1042.77,1000.0,1000.0,1000.2,1000.0,957.03
14,2026-03-17T21:39:44Z,Kevin,Brooks,+14.05,-14.05,1056.82,1000.0,1000.0,986.15,1000.0,957.03
15,2026-03-17T21:47:45Z,Andrew,Kevin,+20.47,-20.47,1036.35,1000.0,1000.0,986.15,1000.0,977.5
16,2026-03-17T22:58:42Z,Kevin,Laurent,+14.33,-14.33,1050.68,1000.0,985.67,986.15,1000.0,977.5
17,2026-03-17T23:03:53Z,Laurent,Kevin,+18.96,-18.96,1031.72,1000.0,1004.63,986.15,1000.0,977.5
18,2026-03-17T23:09:55Z,Laurent,Kevin,+17.25,-17.25,1014.47,1000.0,1021.88,986.15,1000.0,977.5
19,2026-03-17T23:16:01Z,Kevin,Laurent,+16.34,-16.34,1030.81,1000.0,1005.54,986.15,1000.0,977.5
20,2026-03-18T05:17:24Z,Andrew,Kevin,+18.44,-18.44,1012.37,1000.0,1005.54,986.15,1000.0,995.94
21,2026-03-18T05:24:25Z,Andrew,Kevin,+16.76,-16.76,995.61,1000.0,1005.54,986.15,1000.0,1012.7
22,2026-03-18T05:32:39Z,Kevin,Andrew,+16.79,-16.79,1012.4,1000.0,1005.54,986.15,1000.0,995.91
23,2026-03-18T05:41:54Z,Kevin,Andrew,+15.24,-15.24,1027.64,1000.0,1005.54,986.15,1000.0,980.67
24,2026-03-18T05:52:17Z,Brooks,Laurent,+16.89,-16.89,1027.64,1000.0,988.65,1003.04,1000.0,980.67
25,2026-03-18T05:52:53Z,Kevin,Andrew,+13.85,-13.85,1041.49,1000.0,988.65,1003.04,1000.0,966.82
26,2026-03-18T05:58:51Z,Brooks,Andrew,+14.34,-14.34,1041.49,1000.0,988.65,1017.38,1000.0,952.48
27,2026-03-18T06:06:50Z,Andrew,Brooks,+18.95,-18.95,1041.49,1000.0,988.65,998.43,1000.0,971.43
28,2026-03-18T06:13:07Z,Andrew,Brooks,+17.24,-17.24,1041.49,1000.0,988.65,981.19,1000.0,988.67
29,2026-03-18T06:29:56Z,Kevin,Andrew,+13.59,-13.59,1055.08,1000.0,988.65,981.19,1000.0,975.08
30,2026-03-18T06:29:56Z,Kevin,Andrew,+12.38,-12.38,1067.46,1000.0,988.65,981.19,1000.0,962.7
31,2026-03-18T06:35:16Z,Kevin,Andrew,+11.32,-11.32,1078.78,1000.0,988.65,981.19,1000.0,951.38
32,2026-03-18T07:01:39Z,Andrew,Brooks,+17.37,-17.37,1078.78,1000.0,988.65,963.82,1000.0,968.75
33,2026-03-18T07:07:05Z,Andrew,Brooks,+15.77,-15.77,1078.78,1000.0,988.65,948.05,1000.0,984.52
34,2026-03-18T07:12:08Z,Brooks,Andrew,+17.67,-17.67,1078.78,1000.0,988.65,965.72,1000.0,966.85
35,2026-03-19T00:16:22Z,Brooks,Alex,+17.57,-17.57,1078.78,1000.0,988.65,983.29,982.43,966.85
