game,timestamp,winner,loser,winner_delta,loser_delta,Brooks,Alex,Laurent,Kevin,Jason,Andrew
1,2026-03-15T14:32:05Z,Brooks,Andrew,+16.0,-16.0,1016.0,1000.0,1000.0,1000.0,1000.0,984.0
2,2026-03-15T14:33:05Z,Alex,Jason,+16.0,-16.0,1016.0,1016.0,1000.0,1000.0,984.0,984.0
3,2026-03-15T14:34:05Z,Andrew,Kevin,+16.74,-16.74,1016.0,1016.0,1000.0,983.26,984.0,1000.74
4,2026-03-15T14:35:05Z,Andrew,Kevin,+15.2,-15.2,1016.0,1016.0,1000.0,968.06,984.0,1015.94
5,2026-03-15T14:36:05Z,Andrew,Kevin,+13.81,-13.81,1016.0,1016.0,1000.0,954.25,984.0,1029.75
6,2026-03-15T14:37:05Z,Brooks,Kevin,+13.19,-13.19,1029.19,1016.0,1000.0,941.06,984.0,1029.75
7,2026-03-15T14:38:05Z,Brooks,Kevin,+12.03,-12.03,1041.22,1016.0,1000.0,929.03,984.0,1029.75
8,2026-03-15T14:39:05Z,Alex,Andrew,+16.63,-16.63,1041.22,1032.63,1000.0,929.03,984.0,1013.12
9,2026-03-17T02:54:02Z,Kevin,Andrew,+19.8,-19.8,1041.22,1032.63,1000.0,948.83,984.0,993.32
10,2026-03-17T03:01:57Z,Kevin,Andrew,+18.04,-18.04,1041.22,1032.63,1000.0,966.87,984.0,975.28
11,2026-03-17T03:08:55Z,Kevin,Andrew,+16.39,-16.39,1041.22,1032.63,1000.0,983.26,984.0,958.89
12,2026-03-17T03:17:57Z,Andrew,Kevin,+17.12,-17.12,1041.22,1032.63,1000.0,966.14,984.0,976.01
13,2026-03-17T22:45:27Z,Laurent,Andrew,+14.9,-14.9,1041.22,1032.63,1014.9,966.14,984.0,961.11
14,2026-03-17T22:53:43Z,Kevin,Laurent,+18.23,-18.23,1041.22,1032.63,996.67,984.37,984.0,961.11
15,2026-03-19T00:28:07Z,Brooks,Andrew,+12.37,-12.37,1053.59,1032.63,996.67,984.37,984.0,948.74
16,2026-03-19T00:29:54Z,Brooks,Andrew,+11.31,-11.31,1064.9,1032.63,996.67,984.37,984.0,937.43
