modifier_name,total_games_played,Modifier_1_W,Modifier_2_W,Modifier_3_W,Modifier_4_W,Modifier_5_W,Modifier_1_L,Modifier_2_L,Modifier_3_L,Modifier_4_L,Modifier_5_L
Baby Dragon I,3,0,0,0,0,0,0,0,3,0,0
Baby Dragon II,5,0,2,1,0,0,0,1,1,0,0
Baby Dragon III,1,0,0,0,0,0,0,1,0,0,0
Barbarian Hut I,1,0,0,0,0,0,0,0,1,0,0
Barbarian Hut II,5,0,4,0,0,0,0,0,0,1,0
Berserker I,1,0,0,0,1,0,0,0,0,0,0
Berserker II,1,0,0,0,0,0,0,1,0,0,0
Berserker III,1,0,0,0,0,0,0,1,0,0,0
Dart Goblin I,3,0,0,2,1,0,0,0,0,0,0
Dart Goblin II,2,0,0,1,0,0,0,0,1,0,0
Dart Goblin III,5,1,0,0,0,0,4,0,0,0,0
Electro Spirit I,3,0,0,1,1,0,0,0,1,0,0
Electro Spirit II,1,0,0,0,0,0,0,1,0,0,0
Electro Spirit III,3,0,0,0,0,0,3,0,0,0,0
Electro Wizard I,4,0,0,1,0,0,0,0,0,3,0
Electro Wizard II,4,0,0,1,1,0,0,0,1,1,0
Executioner I,1,0,0,0,1,0,0,0,0,0,0
Executioner II,1,0,0,0,1,0,0,0,0,0,0
Executioner III,1,1,0,0,0,0,0,0,0,0,0
Fireball I,9,0,0,0,5,1,0,0,0,3,0
Fireball II,2,0,0,0,0,0,0,2,0,0,0
Fireball III,6,1,1,0,0,0,4,0,0,0,0
Fisherman I,1,0,0,0,0,0,0,0,0,1,0
Flying Machine I,1,0,0,0,0,0,0,0,0,0,1
Flying Machine II,5,0,0,0,0,0,0,4,1,0,0
Flying Machine III,7,1,0,0,0,0,5,1,0,0,0
Giant I,4,0,0,0,0,0,0,0,1,3,0
Giant II,1,0,1,0,0,0,0,0,0,0,0
Giant III,3,2,0,0,0,0,1,0,0,0,0
Giant Snowball I,2,0,0,0,0,0,0,0,0,2,0
Goblin Barrel I,8,0,0,1,3,1,0,0,1,2,0
Goblin Barrel II,4,0,0,0,0,0,2,2,0,0,0
Goblin Barrel III,3,1,0,0,0,0,1,1,0,0,0
Goblin Demolisher II,2,0,1,0,0,0,0,0,1,0,0
Goblin Demolisher III,3,2,0,0,0,0,0,1,0,0,0
Goblin Drill II,1,0,0,0,0,0,0,1,0,0,0
