game_mode,timestamp,1st_pick,2nd_pick,winner,loser,Baby Dragon_W,Barbarian Hut_W,Berserker_W,Dart Goblin_W,Electro Spirit_W,Electro Wizard_W,Elixir Golem_W,Executioner_W,Fireball_W,Fisherman_W,Flying Machine_W,Furnace_W,Giant_W,Giant Snowball_W,Goblin Barrel_W,Goblin Demolisher_W,Goblin Drill_W,Goblin Giant_W,Goblin Hut_W,Golem_W,Graveyard_W,Hunter_W,Ice Spirit_W,Ice Wizard_W,Inferno Tower_W,Knight_W,Lava Hound_W,Mega Knight_W,Mortar_W,Mother Witch_W,Musketeer_W,Night Witch_W,P.E.K.K.A_W,Poison_W,Princess_W,Rage_W,Ram Rider_W,Rascals_W,Rocket_W,Royal Delivery_W,Royal Giant_W,Rune Giant_W,Suspicious Bush_W,The Log_W,Tombstone_W,Vines_W,Witch_W,Wizard_W,X-Bow_W,Zappies_W,Baby Dragon_L,Barbarian Hut_L,Berserker_L,Dart Goblin_L,Electro Spirit_L,Electro Wizard_L,Elixir Golem_L,Executioner_L,Fireball_L,Fisherman_L,Flying Machine_L,Furnace_L,Giant_L,Giant Snowball_L,Goblin Barrel_L,Goblin Demolisher_L,Goblin Drill_L,Goblin Giant_L,Goblin Hut_L,Golem_L,Graveyard_L,Hunter_L,Ice Spirit_L,Ice Wizard_L,Inferno Tower_L,Knight_L,Lava Hound_L,Mega Knight_L,Mortar_L,Mother Witch_L,Musketeer_L,Night Witch_L,P.E.K.K.A_L,Poison_L,Princess_L,Rage_L,Ram Rider_L,Rascals_L,Rocket_L,Royal Delivery_L,Royal Giant_L,Rune Giant_L,Suspicious Bush_L,The Log_L,Tombstone_L,Vines_L,Witch_L,Wizard_L,X-Bow_L,Zappies_L,Baby Dragon_BANNED,Barbarian Hut_BANNED,Berserker_BANNED,Dart Goblin_BANNED,Electro Spirit_BANNED,Electro Wizard_BANNED,Elixir Golem_BANNED,Executioner_BANNED,Fireball_BANNED,Fisherman_BANNED,Flying Machine_BANNED,Furnace_BANNED,Giant_BANNED,Giant Snowball_BANNED,Goblin Barrel_BANNED,Goblin Demolisher_BANNED,Goblin Drill_BANNED,Goblin Giant_BANNED,Goblin Hut_BANNED,Golem_BANNED,Graveyard_BANNED,Hunter_BANNED,Ice Spirit_BANNED,Ice Wizard_BANNED,Inferno Tower_BANNED,Knight_BANNED,Lava Hound_BANNED,Mega Knight_BANNED,Mortar_BANNED,Mother Witch_BANNED,Musketeer_BANNED,Night Witch_BANNED,P.E.K.K.A_BANNED,Poison_BANNED,Princess_BANNED,Rage_BANNED,Ram Rider_BANNED,Rascals_BANNED,Rocket_BANNED,Royal Delivery_BANNED,Royal Giant_BANNED,Rune Giant_BANNED,Suspicious Bush_BANNED,The Log_BANNED,Tombstone_BANNED,Vines_BANNED,Witch_BANNED,Wizard_BANNED,X-Bow_BANNED,Zappies_BANNED,Modifier_1_W,Modifier_2_W,Modifier_3_W,Modifier_4_W,Modifier_5_W,Modifier_1_L,Modifier_2_L,Modifier_3_L,Modifier_4_L,Modifier_5_L
Normal Draft,2026-03-15T14:32:05Z,Brooks,Andrew,Brooks,Andrew,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Poison3,Musketeer2,GoblinBarrel1,Log1,,Fireball3,SuspiciousBush2,Vines1,Xbow1,
Normal Draft,2026-03-15T14:33:05Z,Alex,Jason,Alex,Jason,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,GoblinDemolisher3,IceSpirits2,Poison2,Musketeer1,,GoblinBarrel2,BabyDragon2,Knight1,Vines1,
Normal Draft,2026-03-15T14:34:05Z,Kevin,Andrew,Andrew,Kevin,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DartBarrell3,GoblinHut2,Poison1,ElectroSpirit1,,BlowdartGoblin3,SuspiciousBush2,Golem1,RoyalGiant1,
Normal Draft,2026-03-15T14:35:05Z,Kevin,Andrew,Andrew,Kevin,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pekka3,BarbarianHut2,Poison1,,,Princess2,ElectroSpirit2,Golem2,,
Normal Draft,2026-03-15T14:36:05Z,Andrew,Kevin,Andrew,Kevin,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Vines3,Poison2,ElectroWizard2,Musketeer1,GoblinBarrel1,Fireball3,GoblinHut2,SuspiciousBush2,Giant1,DartBarrell1
Normal Draft,2026-03-15T14:37:05Z,Brooks,Kevin,Brooks,Kevin,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Log3,Musketeer2,GoblinHut1,Golem1,,BlowdartGoblin3,Berserker3,Xbow1,GoblinBarrel1,
Normal Draft,2026-03-15T14:38:05Z,Kevin,Brooks,Brooks,Kevin,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,IceSpirits3,GoblinHut2,SuspiciousBush1,Log1,,BlowdartGoblin3,GoblinBarrel3,BarbarianHut1,Fireball1,
Normal Draft,2026-03-15T14:39:05Z,Alex,Andrew,Alex,Andrew,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,R,0,0,0,0,0,-1,0,0,0,R,0,0,R,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Tombstone3,BabyDragon2,ElectroSpirit1,AxeMan1,Log1,DartBarrell3,GoblinBarrel2,SuspiciousBush1,Fireball1,Poison1
Normal Draft,2026-03-17T02:54:02Z,Kevin,Andrew,Kevin,Andrew,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,R,0,0,0,0,0,R,0,0,R,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BlowdartGoblin3,Graveyard2,Rascals1,GoblinHut1,,Musketeer3,Log3,Knight1,Vines1,
Normal Draft,2026-03-17T03:01:57Z,Andrew,Kevin,Kevin,Andrew,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,R,0,0,0,R,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,R,0,Knight2,Graveyard2,Musketeer2,,,GoblinBarrel2,GoblinGiant2,Tombstone2,,
